name,id,ranking,ranking_points,born_year,versus,hand,height,victory_percentage,clay_victory_percentage,carpet_victory_percentage,grass_victory_percentage,hard_victory_percentage,ace_percentage,doublefault_percentage,first_serve_success_percentage,winning_on_1st_serve_percentage,winning_on_2nd_serve_percentage,overall_win_on_serve_percentage,breakpoint_faced_percentage,breakpoint_saved_percentage
Denis Shapovalov,133430,25,1573,1999,"{105216: ['V'], 106368: ['V'], 105668: ['D'], 105223: ['V'], 106378: ['V', 'V', 'D'], 105807: ['D'], 105041: ['D'], 105554: ['D'], 105173: ['V', 'D'], 103898: ['D', 'D'], 104542: ['V'], 104607: ['D'], 106401: ['V'], 100644: ['D'], 104678: ['D'], 104745: ['V'], 106026: ['V'], 124014: ['D'], 105777: ['D'], 106421: ['V'], 104297: ['V'], 106426: ['V']}",L,0,50.0,0,0,33.33333333333333,52.17391304347826,10.35653650254669,5.178268251273345,57.59762308998302,43.03904923599321,23.3446519524618,66.383701188455,55.32646048109966,34.36426116838488
Kuan Yi Lee,134120,519,65,1996,"{104810: ['D'], 105579: ['V'], 111181: ['V']}",U,0,66.66666666666666,0,0,0.0,100.0,6.713780918727916,2.8268551236749118,65.7243816254417,45.22968197879859,20.141342756183743,65.37102473498233,57.77777777777777,35.55555555555556
Mantas Bugailiskis,134302,0,0,1996,{126340: ['V']},R,0,100.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antoine Bellier,134472,806,23,1996,"{127300: ['V'], 103893: ['D'], 105449: ['D'], 106329: ['D'], 105163: ['D'], 104797: ['D']}",U,0,16.666666666666664,20.0,0,0.0,0.0,3.885480572597137,3.6809815950920246,55.623721881390594,38.036809815950924,19.631901840490798,57.66871165644172,61.97183098591549,32.3943661971831
Juan Borba,134677,0,0,1996,"{105656: ['D'], 106426: ['D'], 144772: ['V'], 106174: ['D']}",R,0,25.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Casper Ruud,134770,157,350,1998,"{105952: ['D'], 104259: ['D'], 106148: ['V'], 104229: ['D'], 104678: ['D'], 105575: ['D'], 104297: ['V'], 105643: ['D'], 108748: ['V'], 105807: ['D'], 117361: ['V'], 106342: ['V'], 105077: ['D'], 105526: ['D'], 104233: ['D'], 105430: ['V'], 106329: ['V'], 126205: ['D'], 126526: ['V']}",R,0,42.10526315789473,50.0,0,0.0,25.0,5.444126074498568,3.36676217765043,66.04584527220631,44.84240687679083,17.550143266475647,62.392550143266476,58.06451612903226,36.405529953917046
Sharmal Dissanayake,134886,1457,2,1996,"{200080: ['V'], 104600: ['D'], 134114: ['V'], 200273: ['D'], 106392: ['D'], 104604: ['D'], 111181: ['D']}",R,0,28.57142857142857,25.0,0,0.0,33.33333333333333,4.562737642585551,4.182509505703422,64.25855513307985,39.92395437262358,14.068441064638785,53.99239543726236,108.57142857142857,71.42857142857143
Ayed Zatar,137018,0,0,1996,"{104656: ['V'], 105985: ['D'], 105334: ['D']}",R,0,33.33333333333333,0,0,0.0,0.0,8.430232558139535,3.488372093023256,58.139534883720934,40.69767441860465,19.767441860465116,60.46511627906976,64.0,38.0
Hong Kit Jack Wong,138846,1131,7,1998,"{106392: ['V'], 122533: ['D']}",U,0,50.0,0,0,0.0,0.0,3.6885245901639343,4.508196721311475,65.1639344262295,38.52459016393443,18.0327868852459,56.55737704918033,51.28205128205128,12.82051282051282
Marcelo Tomas Barrios Vera,144642,373,118,1997,{144773: ['V']},U,0,100.0,0,0,0.0,100.0,2.5974025974025974,5.194805194805195,64.93506493506493,51.94805194805194,24.675324675324674,76.62337662337661,25.0,16.666666666666664
Mikael Ymer,144707,368,120,1998,"{104898: ['D'], 105827: ['V'], 100644: ['D'], 103333: ['D'], 104999: ['D'], 104312: ['D'], 108772: ['V'], 104229: ['D'], 104269: ['V'], 105967: ['D']}",R,0,30.0,50.0,0,0.0,16.666666666666664,1.7502917152858808,4.200700116686114,64.99416569428237,41.30688448074679,17.152858809801632,58.45974329054842,75.39682539682539,46.03174603174603
Jaume Munar,144719,155,356,1997,"{104620: ['D'], 105332: ['D'], 105077: ['D'], 104198: ['V'], 105583: ['D']}",U,0,20.0,25.0,0,0.0,0.0,3.0821917808219177,1.7123287671232876,57.87671232876712,33.21917808219178,20.205479452054796,53.42465753424658,81.81818181818183,40.909090909090914
Lloyd George Muirhead Harris,144750,214,278,1997,"{104386: ['D'], 105827: ['D'], 104901: ['V'], 105798: ['V'], 104233: ['V'], 105450: ['V'], 144940: ['V'], 144813: ['V'], 200270: ['V'], 108748: ['D'], 105238: ['D'], 111167: ['V']}",R,0,66.66666666666666,0.0,0,0.0,85.71428571428571,8.251900108577633,3.3659066232356136,54.83170466883822,40.06514657980456,23.561346362649292,63.62649294245385,46.25850340136054,26.53061224489796
Amine Ahouda,144760,1134,7,1997,"{105217: ['D'], 104233: ['D'], 105526: ['D'], 104719: ['V']}",U,0,25.0,33.33333333333333,0,0.0,0.0,1.083032490974729,5.776173285198556,54.51263537906137,37.90613718411552,20.938628158844764,58.84476534296029,44.18604651162791,18.6046511627907
Jose Olivares,144773,832,20,1997,"{144642: ['D'], 106174: ['D'], 108701: ['D'], 105070: ['D'], 122687: ['V']}",,0,20.0,0.0,0,0.0,0.0,4.23728813559322,3.8135593220338984,64.40677966101694,40.67796610169492,16.94915254237288,57.6271186440678,81.81818181818183,48.484848484848484
Linh Giang Trinh,144775,1203,5,1997,{108982: ['V']},,0,100.0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
