,100
index,55550
id,atp_matches_2005_4281
tournament,Gstaad
tournament_level,A
tournament_date,20050704
tournament_surface,Clay
round,R32
best_of,3
match_id,atp_matches_2005_4281
Name_1,Stan.Wawrinka
ID_1,104527
Ranking_1,74
Ranking_Points_1,547
Ranking_History_1,"{20030616: [387, 68], 20030707: [363, 74], 20030714: [348, 79], 20030721: [303, 99], 20030811: [284, 114], 20030818: [215, 164], 20030825: [175, 219], 20030929: [171, 215], 20031020: [172, 214], 20040105: [171, 216], 20040119: [166, 226], 20040206: [162, 225], 20040209: [164, 225], 20040301: [161, 227], 20040412: [184, 205], 20040419: [179, 210], 20040426: [148, 260], 20040510: [147, 270], 20040524: [150, 266], 20040531: [150, 266], 20040607: [156, 267], 20040614: [152, 272], 20040705: [146, 275], 20040719: [153, 261], 20040809: [159, 256], 20040816: [162, 241], 20040830: [163, 241], 20040906: [163, 241], 20040913: [167, 233], 20040920: [166, 242], 20041025: [161, 258], 20041101: [159, 262], 20050103: [168, 262], 20050117: [165, 267], 20050124: [165, 267], 20050131: [153, 291], 20050214: [128, 346], 20050221: [120, 377], 20050304: [118, 377], 20050328: [117, 362], 20050418: [113, 397], 20050502: [99, 421], 20050523: [87, 467], 20050613: [73, 551], 20050620: [74, 547]}"
Best_Rank_1,73
Birth_Year_1,19850328.0
Versus_1,"[['D', 20030721, 'atp_matches_2003_4782']]"
Hand_1,R
Last_Tournament_Date_1,20050613
Height_1,183.0
Matches_1,"[['V', 'atp_matches_qual_chall_2003_3466'], ['D', 'atp_matches_qual_chall_2003_3481'], ['D', 'atp_matches_2003_4049'], ['V', 'atp_matches_2003_4315'], ['D', 'atp_matches_2003_4328'], ['V', 'atp_matches_2003_4773'], ['D', 'atp_matches_2003_4782'], ['V', 'atp_matches_qual_chall_2003_5408'], ['V', 'atp_matches_qual_chall_2003_5419'], ['V', 'atp_matches_qual_chall_2003_5424'], ['V', 'atp_matches_qual_chall_2003_5427'], ['V', 'atp_matches_qual_chall_2003_5428'], ['V', 'atp_matches_qual_chall_2003_5558'], ['V', 'atp_matches_qual_chall_2003_5571'], ['V', 'atp_matches_qual_chall_2003_5578'], ['V', 'atp_matches_qual_chall_2003_5581'], ['V', 'atp_matches_qual_chall_2003_5583'], ['V', 'atp_matches_qual_chall_2003_5889'], ['V', 'atp_matches_qual_chall_2003_5903'], ['D', 'atp_matches_qual_chall_2003_5910'], ['D', 'atp_matches_qual_chall_2003_6734'], ['D', 'atp_matches_2003_7265'], ['D', 'atp_matches_2004_5'], ['D', 'atp_matches_qual_chall_2004_423'], ['D', 'atp_matches_2004_630'], ['D', 'atp_matches_qual_chall_2004_752'], ['V', 'atp_matches_qual_chall_2004_1154'], ['V', 'atp_matches_qual_chall_2004_1163'], ['D', 'atp_matches_qual_chall_2004_1167'], ['V', 'atp_matches_qual_chall_2004_2073'], ['D', 'atp_matches_qual_chall_2004_2085'], ['V', 'atp_matches_qual_chall_2004_2287'], ['V', 'atp_matches_qual_chall_2004_2301'], ['V', 'atp_matches_qual_chall_2004_2308'], ['V', 'atp_matches_qual_chall_2004_2312'], ['V', 'atp_matches_qual_chall_2004_2314'], ['D', 'atp_matches_2004_2416'], ['D', 'atp_matches_qual_chall_2004_2596'], ['D', 'atp_matches_qual_chall_2004_3191'], ['D', 'atp_matches_qual_chall_2004_3236'], ['V', 'atp_matches_qual_chall_2004_3481'], ['D', 'atp_matches_qual_chall_2004_3490'], ['V', 'atp_matches_qual_chall_2004_3600'], ['D', 'atp_matches_qual_chall_2004_3611'], ['D', 'atp_matches_2004_4123'], ['D', 'atp_matches_2004_4825'], ['V', 'atp_matches_qual_chall_2004_5381'], ['V', 'atp_matches_qual_chall_2004_5393'], ['V', 'atp_matches_qual_chall_2004_5399'], ['V', 'atp_matches_qual_chall_2004_5402'], ['D', 'atp_matches_qual_chall_2004_5403'], ['V', 'atp_matches_qual_chall_2004_5629'], ['V', 'atp_matches_qual_chall_2004_5641'], ['V', 'atp_matches_qual_chall_2004_5647'], ['V', 'atp_matches_qual_chall_2004_5650'], ['V', 'atp_matches_qual_chall_2004_5651'], ['D', 'atp_matches_qual_chall_2004_6096'], ['V', 'atp_matches_qual_chall_2004_6148'], ['D', 'atp_matches_qual_chall_2004_6335'], ['D', 'atp_matches_2004_6494'], ['V', 'atp_matches_qual_chall_2004_6580'], ['V', 'atp_matches_qual_chall_2004_6593'], ['D', 'atp_matches_qual_chall_2004_6600'], ['D', 'atp_matches_2004_7371'], ['D', 'atp_matches_qual_chall_2004_7567'], ['D', 'atp_matches_2005_70'], ['D', 'atp_matches_qual_chall_2005_393'], ['V', 'atp_matches_qual_chall_2005_427'], ['V', 'atp_matches_qual_chall_2005_560'], ['V', 'atp_matches_qual_chall_2005_570'], ['V', 'atp_matches_qual_chall_2005_575'], ['D', 'atp_matches_qual_chall_2005_578'], ['V', 'atp_matches_qual_chall_2005_772'], ['V', 'atp_matches_qual_chall_2005_785'], ['V', 'atp_matches_qual_chall_2005_791'], ['V', 'atp_matches_qual_chall_2005_794'], ['D', 'atp_matches_qual_chall_2005_796'], ['V', 'atp_matches_2005_1046'], ['D', 'atp_matches_2005_1061'], ['D', 'atp_matches_qual_chall_2005_1150'], ['D', 'atp_matches_2005_1298'], ['D', 'atp_matches_2005_1299'], ['V', 'atp_matches_qual_chall_2005_1907'], ['V', 'atp_matches_qual_chall_2005_1918'], ['V', 'atp_matches_qual_chall_2005_1924'], ['D', 'atp_matches_qual_chall_2005_1927'], ['V', 'atp_matches_2005_2334'], ['V', 'atp_matches_2005_2358'], ['V', 'atp_matches_2005_2373'], ['D', 'atp_matches_2005_2381'], ['V', 'atp_matches_2005_2630'], ['D', 'atp_matches_2005_2661'], ['V', 'atp_matches_2005_3180'], ['V', 'atp_matches_2005_3214'], ['D', 'atp_matches_2005_3231'], ['V', 'atp_matches_qual_chall_2005_3262'], ['V', 'atp_matches_qual_chall_2005_3293'], ['V', 'atp_matches_qual_chall_2005_3355'], ['D', 'atp_matches_2005_3757'], ['D', 'atp_matches_2005_3914']]"
Matches_Clay_1,"['V', 'D', 'D', 'V', 'D', 'V', 'D', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'D', 'D', 'V', 'D', 'V', 'V', 'V', 'V', 'V', 'D', 'D', 'D', 'D', 'V', 'D', 'V', 'D', 'D', 'D', 'V', 'V', 'V', 'V', 'D', 'V', 'V', 'V', 'V', 'V', 'D', 'D', 'V', 'V', 'D', 'V', 'V', 'V', 'D', 'V', 'V', 'V', 'D', 'V', 'D', 'V', 'V', 'D', 'V', 'V', 'V']"
Matches_Carpet_1,"['D', 'D', 'D']"
Matches_Grass_1,"['D', 'D']"
Matches_Hard_1,"['D', 'D', 'D', 'D', 'V', 'V', 'D', 'D', 'V', 'D', 'D', 'V', 'V', 'V', 'V', 'D', 'V', 'V', 'V', 'V', 'D', 'V', 'D', 'D', 'D', 'D']"
Victories_Percentage_1,57.99999999999999
Clay_Victories_Percentage_1,66.66666666666666
Carpet_Victories_Percentage_1,0.0
Grass_Victories_Percentage_1,0.0
Hard_Victories_Percentage_1,46.15384615384615
Aces_Percentage_1,7.41825280624695
Doublefaults_Percentage_1,4.978038067349927
First_Serve_Success_Percentage_1,57.10102489019033
Winning_on_1st_Serve_Percentage_1,51.87896534895072
Winning_on_2nd_Serve_Percentage_1,21.57149829184968
Overall_Win_on_Serve_Percentage_1,73.4504636408004
BreakPoint_Face_Percentage_1,9.809663250366032
BreakPoint_Saved_Percentage_1,6.149341142020498
games_fatigue_1,26.666666666666668
minutes_fatigue_1,209.44444444444449
last_rankings_1,"[74, 153, 163, 166, 161, 159, 9999, 153, 120, 117, 113, 87]"
last_ranking_points_1,"[547, 261, 241, 242, 258, 262, 0, 291, 377, 362, 397, 467]"
Name_2,Filippo.Volandri
ID_2,103835
Ranking_2,32
Ranking_Points_2,1060
