train_years;test_years;model_class;model_params;match_features;player_features;encoding_params;additional_features;precision
[2018, 2019, 2020];[2021, 2022];BestRankedPlayerWins;{};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6345580007459903
[2018, 2019, 2020];[2021, 2022];LightGBM;{'params': {'num_leaves': 31, 'objective': 'binary'}};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6864043267437523
[2018, 2019, 2020];[2021, 2022];RandomForestClassifier;{'n_estimators': 10, 'max_depth': 1};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6713912719134651
[2018, 2019, 2020];[2021, 2022];RandomForestClassifier;{'n_estimators': 100, 'max_depth': 1};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6697127937336814
[2018, 2019, 2020];[2021, 2022];RandomForestClassifier;{'n_estimators': 1000, 'max_depth': 1};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6690600522193212
[2018, 2019, 2020];[2021, 2022];RandomForestClassifier;{'n_estimators': 2000, 'max_depth': 1};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6678478179783662
[2018, 2019, 2020];[2021, 2022];RandomForestClassifier;{'n_estimators': 10, 'max_depth': 3};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6734427452443118
[2018, 2019, 2020];[2021, 2022];RandomForestClassifier;{'n_estimators': 100, 'max_depth': 3};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.675307720999627
[2018, 2019, 2020];[2021, 2022];RandomForestClassifier;{'n_estimators': 1000, 'max_depth': 3};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6748414770607982
[2018, 2019, 2020];[2021, 2022];RandomForestClassifier;{'n_estimators': 2000, 'max_depth': 3};['tournament_surface', 'tournament_level', 'diff_rank', 'v_perc_versus'];['Ranking', 'Ranking_Points', 'Height', 'Victories_Percentage', 'Clay_Victories_Percentage', 'Grass_Victories_Percentage', 'Carpet_Victories_Percentage', 'Hard_Victories_Percentage', 'Aces_Percentage'];{};['diff_rank', 'v_perc_versus'];0.6758672137262216
